web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,Vehicle Type,description,trim,certified,condition,pagination,pagination-href
1654608100-14477,https://www.collectorsdreamcars.com/,"Collectors
    1968
    
    
    Chevrolet
    Impala",https://www.collectorsdreamcars.com/VehicleDetails/used-1968-Chevrolet-Impala--Boulder_City-NV/5331108310,CDC3716,1968,Chevrolet,Impala,N/A,8,Automatic,383,null,Gas,164398L153716,320,Black,Black,"$59,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/1/9/8/29829872891x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/1/0/29829872018x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/5/4/29829872455x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/0/1/29829871103x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/6/3/29829888363x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/7/5/29829888573x100.jpg""}]",4,CAR,"Collector's Dream Cars Proudly Presents...
A Fully Restored 1968 Impala-291 Miles from full Body Off Restoration-383 High Performance Stoker Crate Motor-425 HP-Car equipped with massive New Wilwoood Racing Discs all round. Car is ""As New"" and ready to hit the Show Car Circuit. Truly a One-Off Pristine. Every Restoration Documentation is available for your Review. Almost $100,000 dollars to reach this Condition was invested in this Classic in 2017-2018. We have almost $89,000 in Documented Receipt's from this Build that were performed in 2017 and Build completed in 2018 and all Build Documents are available to a serious Buyer. The Shop Rate during that time was $75-95 Per Hour. The Top-Rated Shop currently charges $185 per hour and the Owner of the Shop now feels if all the Parts can be found and timely, this Build could take 3+ Years to complete and would be easily a $125,000+ Project. This Build started in early 2017 with what has been deemed a Hagerty 4.5 Quality Car in today's Market the Car alone could be a 20-25,000 Purchase alone.


We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle. We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,,Used,,
1654608110-14483,https://www.collectorsdreamcars.com/,"Collectors
    1955
    
    
    Chevrolet
    Bel Air
    2 DR",https://www.collectorsdreamcars.com/VehicleDetails/used-1955-Chevrolet-Bel_Air-2_DR-Boulder_City-NV/5176925890,CDC0603,1955,Chevrolet,Bel Air,Coupe,8,Automatic,GAS,null,Gas,VC57F198331,null,Blue,Blue & White,"$84,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/5/8/29682653855x100.jpg""}]",2,CAR,"Collector’s Dream Cars is proud to present a true EPIC garage find with this all original 1955 Bel Air Convertible!
This gem was found after being parked in a climate controlled garage for 50 years! Yes, the first question is, WHO DOES THAT? The owner we bought this vehicle took ONE trip in his 75 year life out of the state of Iowa after visiting Disneyland in southern California. that ‘s right he canceled his round trip ticket air flight to jump in this car and drive it back. After bringing it home to Iowa his dream was to convert this car to a gasser drag car. Of course that was a bad idea, so instead he packed it in the back of his garage. Because his passion was drag racing he never had time for this 55’ Bel Air Convertible. Wait, the story gets better! Always believing he would one day restore the car, he asked his kids to buy him parts for Christmas, nearly all OEM parts. That’s right! The new owner of this car has nearly all new parts, exterior and interior making all his car needs, is the soft trim. The epic 55’ Bel Air is equipped with power steering, power brakes, power windows, and power seats. It’s loaded! The car has only rust in the rear quarters and that’s it!
 
We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle, but that's why we try our best to over document and be completely transparent. If you need any additional photos, videos, facetime, or google duo we are happy to work one on one finding you your next dream car. Henry Ford did not just change the auto industry. He also gave birth to the love of man and machine. Let us help you find your dream car!
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",2 DR,,Used,,
1654608096-14476,https://www.collectorsdreamcars.com/,"Collectors
    1969
    
    
    Chevrolet
    Corvette
    CONVERT",https://www.collectorsdreamcars.com/VehicleDetails/used-1969-Chevrolet-Corvette-CONVERT-Boulder_City-NV/4695857693,CDC1113,1969,Chevrolet,Corvette,2D,,Automatic,GAS,null,Gas,194679S734938,null,Yellow,Black,"$58,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/2/9/27984755926x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/9/2/25262193294x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/0/2/8/25262235820x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/3/8/25262235836x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/9/7/25262191793x100.jpg""}]",2,CAR,"Collectors Dream Cars Las Vegas proudly presents...
A beautiful 1969 Chevy Corvette Stingray C3 Convertible, in a stunning Daytona Yellow exterior and black leather interior, equipped with a V-8 427 and a Rochester 4 -barrel coupled with an automatic transmission. The 69 Corvette had a total production of 16,633 that year. It is a vehicle, that in good condition, will always retain its high value, and Chevrolet specifically designed it to fit in as a luxury and racing vehicle. This beautiful Daytona Yellow Stingray is ready for a new home and a road trip! As always the Corvette will bring value to a car collection especially this one in great condition! 
MORE PICTURES AVAILABLE:  https://collectorsdreamcars.smugmug.com/1969-CHEVY-CORVETTE-STINGRAY 
We understand that buying on the web could leave room for uncertainty of the quality/ condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",CONVERT,Used,Used,,
1654608067-14458,https://www.collectorsdreamcars.com/,"Collectors
    1965
    
    
    GMC
    Suburban
    WAGON",https://www.collectorsdreamcars.com/VehicleDetails/used-1965-GMC-Suburban-WAGON-Boulder_City-NV/5179805990,CDC1019,1965,GMC,Suburban,2 DOOR,,Automatic,350 V8,null,Gas,1001ZF12058A,null,Blue,Blue,"$26,999","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/8/2/28989194283x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/9/2/28989194297x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/2/9/2/28989194292x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/8/2/28989194286x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/8/2/28989194284x100.jpg""}]",2,WAGON,"Collector Dream Cars is proud to release a really cool 1965 GMC Suburban!
This vehicle runs, drives, and brakes great as it has a 350 4 barrel V8.  It has minimal rust which makes it perfect restoration project or stay with the patina rat rod look and enjoy it as it is.  Either way, the GMC Suburban is rates high on the COOL meter as it is most unique.  
At Collectors Dream Cars we make it easy with ""peace of mind"" money back guaranteed.  We can facilitate most transportation within 24 hours. notice to ship a vehicle   

We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
  For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",WAGON,Used,Used,,
1654608054-14449,https://www.collectorsdreamcars.com/,"Collectors
    1962
    
    
    Chevrolet
    Corvair
    MONZA",https://www.collectorsdreamcars.com/VehicleDetails/used-1962-Chevrolet-Corvair-MONZA-Boulder_City-NV/5147239940,CDC09091962,1962,Chevrolet,Corvair,COVERTIBLE,6,N/A,6 cyl.   original engine,null,Gas,20967W312896,null,Red,Red,"$23,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/2/2/4/28820919422x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/8/9/28820915987x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/5/2/28820916254x100.jpg""}]",2,CAR,"Collectors Dream Cars Las Vegas LLC proudly presents..
Hit the road in this beautiful  driver quality1962 Chevrolet Corvair Convertible..This cutie has lived in the desert its whole life.  Restored and loved locally by an exclusive Corvair restorer.  Engine has be redone with receipts supplied.  Great condition.  

We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",MONZA,,Used,,
1654608124-14491,https://www.collectorsdreamcars.com/,"Collectors
    1963
    
    
    Chevrolet
    Corvette Stingray
    SPLIT WINDOW",https://www.collectorsdreamcars.com/VehicleDetails/used-1963-Chevrolet-Corvette_Stingray-SPLIT_WINDOW-Boulder_City-NV/5149934090,CDC0914,1963,Chevrolet,Corvette Stingray,COUPE,8,Manual,350,null,Gas,30837S107794,null,Daytona Blue,Dark Blue Vinyl,"$219,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/1/5/6/28820425651x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/2/9/28820426928x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/3/6/28970648633x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/8/6/28970649683x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/1/3/28820420314x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/2/0/28820423027x100.jpg""}]",2,CAR,"Collectors Dream Cars Las Vegas LLC, proudly presents...
A 1963 Chevy Corvette Stingray Split Window.  A true survivor from Southern Nevada in it original Daytona Blue.  327, V-8, 4 speed, starts right up and drives great.  Undamaged, no rust, with pristine untouched original interior.  This vehicles is in original unrestored condition.  Please contact us for more information - this split window will sell fast!

We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",SPLIT WINDOW,,Used,,
1654608079-14465,https://www.collectorsdreamcars.com/,"Collectors
    1968
    
    
    Buick
    Riviera",https://www.collectorsdreamcars.com/VehicleDetails/used-1968-Buick-Riviera--Boulder_City-NV/5325266380,CDC0308,1968,Buick,Riviera,N/A,8,Automatic,V8,null,Gas,494878H933712,null,Silver Beige Mist,Pewter,"$36,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/5/7/29797704756x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/2/4/7/29797704742x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/1/4/7/29797704741x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/3/7/29797704739x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/3/7/29797704737x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/3/7/29797704735x100.jpg""}]",2,CAR,"Collectors Dream Cars Las Vegas LLC proudly presents...
A 1968 Buick Riviera fastback coupe 430/360HP V8 with original factory options including air conditioning, power steering, heater, power brakes, power windows, power antenna, power seats, tilt steering wheel, white sidewall tires, dual exhausts, AM 'Sonomatic' radio, electric clock, full carpeting and with it's original matching numbers 430ci/360HP 4 barrel engine and automatic transmission and with original Buick Rally wheels from Southern Nevada. This vehicle is in great condition- beautiful exterior painted in Silver Beige Mist with the Champagne interior all in great condition. This classic has spent the last 10 years in a garage, well pampered and seldom driven. This beautiful classic will add value to any car collection!
 
We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,,Used,,
1654608124-14492,https://www.collectorsdreamcars.com/,"Collectors
    1963
    
    
    Chevrolet
    Corvette Stingray
    SPLIT WINDOW",https://www.collectorsdreamcars.com/VehicleDetails/used-1963-Chevrolet-Corvette_Stingray-SPLIT_WINDOW-Boulder_City-NV/5149934090,CDC0914,1963,Chevrolet,Corvette Stingray,COUPE,,Manual,350,null,Gas,30837S107794,null,Daytona Blue,Dark Blue Vinyl,"$219,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/1/5/6/28820425651x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/2/9/28820426928x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/3/6/28970648633x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/8/6/28970649683x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/1/3/28820420314x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/2/0/28820423027x100.jpg""}]",2,CAR,"Collectors Dream Cars Las Vegas LLC, proudly presents...
A 1963 Chevy Corvette Stingray Split Window.  A true survivor from Southern Nevada in it original Daytona Blue.  327, V-8, 4 speed, starts right up and drives great.  Undamaged, no rust, with pristine untouched original interior.  This vehicles is in original unrestored condition.  Please contact us for more information - this split window will sell fast!

We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",SPLIT WINDOW,Used,Used,,
1654608079-14466,https://www.collectorsdreamcars.com/,"Collectors
    1968
    
    
    Buick
    Riviera",https://www.collectorsdreamcars.com/VehicleDetails/used-1968-Buick-Riviera--Boulder_City-NV/5325266380,CDC0308,1968,Buick,Riviera,N/A,,Automatic,V8,null,Gas,494878H933712,null,Silver Beige Mist,Pewter,"$36,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/5/7/29797704756x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/2/4/7/29797704742x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/1/4/7/29797704741x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/3/7/29797704739x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/3/7/29797704737x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/3/7/29797704735x100.jpg""}]",2,CAR,"Collectors Dream Cars Las Vegas LLC proudly presents...
A 1968 Buick Riviera fastback coupe 430/360HP V8 with original factory options including air conditioning, power steering, heater, power brakes, power windows, power antenna, power seats, tilt steering wheel, white sidewall tires, dual exhausts, AM 'Sonomatic' radio, electric clock, full carpeting and with it's original matching numbers 430ci/360HP 4 barrel engine and automatic transmission and with original Buick Rally wheels from Southern Nevada. This vehicle is in great condition- beautiful exterior painted in Silver Beige Mist with the Champagne interior all in great condition. This classic has spent the last 10 years in a garage, well pampered and seldom driven. This beautiful classic will add value to any car collection!
 
We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,Used,Used,,
1654608100-14478,https://www.collectorsdreamcars.com/,"Collectors
    1968
    
    
    Chevrolet
    Impala",https://www.collectorsdreamcars.com/VehicleDetails/used-1968-Chevrolet-Impala--Boulder_City-NV/5331108310,CDC3716,1968,Chevrolet,Impala,N/A,,Automatic,383,null,Gas,164398L153716,320,Black,Black,"$59,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/1/9/8/29829872891x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/1/0/29829872018x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/5/4/29829872455x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/0/1/29829871103x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/6/3/29829888363x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/7/5/29829888573x100.jpg""}]",4,CAR,"Collector's Dream Cars Proudly Presents...
A Fully Restored 1968 Impala-291 Miles from full Body Off Restoration-383 High Performance Stoker Crate Motor-425 HP-Car equipped with massive New Wilwoood Racing Discs all round. Car is ""As New"" and ready to hit the Show Car Circuit. Truly a One-Off Pristine. Every Restoration Documentation is available for your Review. Almost $100,000 dollars to reach this Condition was invested in this Classic in 2017-2018. We have almost $89,000 in Documented Receipt's from this Build that were performed in 2017 and Build completed in 2018 and all Build Documents are available to a serious Buyer. The Shop Rate during that time was $75-95 Per Hour. The Top-Rated Shop currently charges $185 per hour and the Owner of the Shop now feels if all the Parts can be found and timely, this Build could take 3+ Years to complete and would be easily a $125,000+ Project. This Build started in early 2017 with what has been deemed a Hagerty 4.5 Quality Car in today's Market the Car alone could be a 20-25,000 Purchase alone.


We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle. We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,Used,Used,,
1654608127-14493,https://www.collectorsdreamcars.com/,"Certified
    1929
    
    
    Ford
    Model A",https://www.collectorsdreamcars.com/VehicleDetails/certified-1929-Ford-Model_A--Boulder_City-NV/5322503880,CC,1929,Ford,Model A,N/A,N/A,N/A,N/A,null,Gas,N/A,null,Black,Red,"$39,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/2/7/29779166729x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/3/6/29779166634x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/2/5/29779166529x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/6/5/29779166563x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/6/4/29779166467x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/0/4/29779166408x100.jpg""}]",2,CAR,"Collector’s Dream cars is proud to present this “RAT” Rod 1929 Ford Model A! 
This vehicle is a great weekend lifestyle car. Both reliable and fun to drive, this 29 Model A runs down the road at 75 mph while running cool and looking even cooler. You will be a crowd favorite and the ncu of all your friends. It's all steel original body has no rust or modifications. If you're looking for that car to show with any drama, this 29 Model A is your ticket!

We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle, but that's why we try our best to over document and be completely transparent. If you need any additional photos, videos, facetime, or google duo we are happy to work one on one finding you your next dream car. Henry Ford did not just change the auto industry. He also gave birth to the love of man and machine. Let us help you find your dream car!
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,,Certified,,
1654608089-14471,https://www.collectorsdreamcars.com/,"Collectors
    1955
    
    
    Ford
    F100
    REG CAB",https://www.collectorsdreamcars.com/VehicleDetails/used-1955-Ford-F100-REG_CAB-Boulder_City-NV/5168996080,CDC1007,1955,Ford,F100,TRUCK,8,Automatic,351 TRUCK ENGINE,null,Gas,F10D5L16246,785,Red,Black,"$49,999","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/6/3/28970311367x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/7/2/28970311275x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/1/1/28970311118x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/7/6/28970310676x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/9/0/28970312098x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/0/3/9/28970310930x100.jpg""}]",2,TRUCK,"Collector's Dream Cars Las Vegas LLC proudly presents...
A 1955 Ford F100 is a true ""Old School"" classic. This beautiful truck comes from central Arizona, where it was pampered by the owner. This F100 has a timeless style and design, with a powerful 351 V8 truck engine this truck is a turn key classic - ready for any car show or parade. This 1955 Ford F100 will add value to any car collection. 
 
We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",REG CAB,,Used,,
1654608127-14494,https://www.collectorsdreamcars.com/,"Certified
    1929
    
    
    Ford
    Model A",https://www.collectorsdreamcars.com/VehicleDetails/certified-1929-Ford-Model_A--Boulder_City-NV/5322503880,CC,1929,Ford,Model A,N/A,,N/A,N/A,null,Gas,N/A,null,Black,Red,"$39,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/2/7/29779166729x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/3/6/29779166634x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/2/5/29779166529x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/3/6/5/29779166563x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/6/4/29779166467x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/0/4/29779166408x100.jpg""}]",2,CAR,"Collector’s Dream cars is proud to present this “RAT” Rod 1929 Ford Model A! 
This vehicle is a great weekend lifestyle car. Both reliable and fun to drive, this 29 Model A runs down the road at 75 mph while running cool and looking even cooler. You will be a crowd favorite and the ncu of all your friends. It's all steel original body has no rust or modifications. If you're looking for that car to show with any drama, this 29 Model A is your ticket!

We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle, but that's why we try our best to over document and be completely transparent. If you need any additional photos, videos, facetime, or google duo we are happy to work one on one finding you your next dream car. Henry Ford did not just change the auto industry. He also gave birth to the love of man and machine. Let us help you find your dream car!
For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,Certified,Certified,,
1654608064-14455,https://www.collectorsdreamcars.com/,"Collectors
    1978
    
    
    Jeep
    Renegade",https://www.collectorsdreamcars.com/VehicleDetails/used-1978-Jeep-Renegade--Boulder_City-NV/5338483830,CC8977,1978,Jeep,Renegade,Coupe,N/A,Manual,N/A,null,Gas,J8M83AA148977,null,Red,Black,"$25,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/6/3/29869231365x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/5/8/1/29869231185x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/1/2/29869233218x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/5/3/29869233356x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/0/5/8/29869232850x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/6/7/6/29869232676x100.jpg""}]",2,CAR,"Collector's Dream Cars Proudly Presents...
 A 1978 Jeep Renegade! This Jeep is a manual 4-speed and is ready to hit the road... or dirt! Come stop by and take her for a drive, I promise you won't regret it!


We understand that buying on the web could leave room for uncertainty of the quality/condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically. We facilitate transportation to your front door, making it easy to enjoy your new soulmate with no worries.  Give us a call and let us help you find that love of man and machine.
For any vehicle inquiries please call us at 702-889-8482 Office or call/text Mike Cimino – Owner 702-544-0235",null,,Used,,
1654608115-14486,https://www.collectorsdreamcars.com/,"Collectors
    1968
    
    
    Chevrolet
    Camaro",https://www.collectorsdreamcars.com/VehicleDetails/used-1968-Chevrolet-Camaro--Boulder_City-NV/4699927593,CDC1109,1968,Chevrolet,Camaro,2D,,Manual,302 numbers matching,null,Gas,124378L341140,null,British Green,Black,"$87,995","[{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/8/0/25297443089x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/9/0/2/25297447209x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/7/8/0/26501457087x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/8/2/5/25297442528x100.jpg""},{""photo urls"":"""",""photo urls-src"":""https://inv.assets.sincrod.com/4/6/9/26501456964x100.jpg""}]",2,CAR,"Collector's Dream Cars Las Vegas LLC proudly presents...
A beautiful 1968 Chevy Camaro Z28, in a stunning British Green exterior and black/white checker interior. The 68 Camaro Z28 had a total production of 7,199 that year. An immaculate NUMBERS MATCHING with FULL DOCUMENTATION 1968 Camaro Z28. This vehicle has been golden medallion restored and sure to win all the envy at the cars show.  If you want to show up with the prettiest girl this little lovely is it! This rare Z28 is one of 7,199 built. This beautiful car boasts a 302-cid V-8 with an 850-cfm four-barrel carburetor was again exclusive to the Z28. These Z28s could run the quarter mile in 14.8 seconds at 101 mph! Pure muscle straight from the factory floor!   This car is a rare find with a limited availability! 
All this car needs is gas and a ""new driver""! We are adding the Rally Sport Rims with Red Line Tires. (The existing tires and wheels shown in the pictures will be thrown in with the car.)

MORE PICTURES AVAILABLE IN OUR LIBRARY: https://collectorsdreamcars.smugmug.com/1968-CHEVY-CAMARO-Z28
We understand that buying on the web could leave room for uncertainty of the quality/ condition of the vehicle.  We are happy to Facetime, Google Duo, or video anything you want to see specifically.  For any vehicle inquiries please call us at 702-889-8482 office or call/text Mike Cimino – owner 702-544-0235",null,Used,Used,,
